timestamp,date,totalBorrow,totalValueLocked,utilizationRate,liquidity
1652918191,19/05/2022,1474798683.187824615193285370326514,5414689073.810568732221294679640533,0.27236996678554254,3939890390.622744
1653004590,20/05/2022,1447662898.877405306959370596993588,5549237573.085992170815645885808456,0.2608759995965255,4101574674.2085867
1653090870,21/05/2022,1446044356.036210105900074802951813,5469400417.888741777222718134860349,0.2643880947729919,4023356061.8525314
1653177369,22/05/2022,1360262323.371983824415565142041438,5480005367.553557088994942502711511,0.24822280858079646,4119743044.181574
1653263344,23/05/2022,1380106405.795077016980160190660916,5589431429.325635725696679737007247,0.24691355878420476,4209325023.5305586
1653350376,24/05/2022,1379176600.567219239619743852983623,5463021348.496919581029260401010727,0.25245674739065077,4083844747.9297004
1653436714,25/05/2022,1365389869.369705069860097848976939,5510619115.280424343590614235485899,0.2477743137034473,4145229245.910719
1653523184,26/05/2022,1357738982.00918951462795755920718,5448646352.247269125877490103764319,0.2491883110470542,4090907370.238079
1653609428,27/05/2022,1303094523.200339426424840085369551,5207784388.692510313282037088233892,0.2502205210395625,3904689865.4921713
1653695890,28/05/2022,1306900685.725096408180927417185886,5280531645.651661021778473038474279,0.24749414896533856,3973630959.926564
1653782379,29/05/2022,1252708499.961131505085958442059026,5274049031.830674039871784619099187,0.23752310462049386,4021340531.8695426
1653868795,30/05/2022,1255706435.953439973408606201583823,5315296807.606974174796767638474575,0.2362438978301905,4059590371.653535
1653955198,31/05/2022,1287271743.81211943942155669706348,5563212454.103980328286014781862646,0.2313900025267774,4275940710.2918606
1654041076,01/06/2022,1295286206.733008700208454272167457,5480864148.980333251557071452246516,0.23632882909057054,4185577942.247325
1654127879,02/06/2022,1289521936.76799156299191499798158,5304548092.549239961524683129151585,0.24309741645650307,4015026155.7812486
1654212905,03/06/2022,1289180136.584616540290495229448225,5312561275.834729125382785770139351,0.2426664031996611,4023381139.2501125
1654300587,04/06/2022,1288736360.834466813588771015985811,5255968612.065813630785443876349123,0.24519483580552429,3967232251.231347
