block,HHI,depositers
11449878,1476.3701347666472,200
11449924,1476.3117102834412,200
11450017,1483.3051586484114,199
11450381,1337.027980005545,200
11450483,1338.241570964804,199
11450603,1338.2316131619343,199
11450622,1338.2760197333857,199
11450635,1320.6133622809693,200
11451139,1382.0442603581084,199
11451276,1382.1376273962655,199
11451413,1377.355055530886,199
11451424,1377.49100844518,199
11451443,1382.0639246192386,199
11451822,1422.1468604194474,199
11451937,1368.7664335578534,200
11452236,1368.7566013503176,201
11452315,1368.7031961712275,202
11452322,1368.7377465354962,202
11452631,1368.672683050156,202
11452640,1368.273070284968,203
11452762,1364.2954947848286,204
11452955,1359.755246520047,205
11453036,1359.8008345927806,205
11453130,1360.2819223755976,204
11453245,1329.4328760950477,204
11453278,1329.391664280751,204
11453728,1329.5798826419866,203
11453889,1329.568914958073,204
11454081,1329.3122943911048,204
11454123,1334.4377712001228,203
11454253,1479.9594331100916,202
11454318,1479.9285428247902,202
11454324,1495.8043121372982,202
11454353,1479.9285895792143,202
11454445,1479.8758586057243,203
11454511,1437.665923478015,204
11454570,1437.551141979462,205
11454665,1433.8172975795742,206
11454690,1433.7424810700734,206
11454831,1475.7749766912466,205
11454955,1479.6814965558642,204
11455052,1479.3166959251962,205
11455121,1480.536295599646,205
11455132,1481.7216844939383,205
11455366,1481.669003101129,206
11455739,1481.6165741229038,206
11455790,1481.5742169099449,206
11455818,1481.6266383406437,206
11455854,1481.731508134914,206
11455968,1476.5289666726144,207
11455976,1476.4511114373088,207
11455979,1481.653240131792,206
11456046,1481.7297996932152,206
11456146,1453.0857325444772,207
11456258,1451.5613807998598,208
11456683,1451.6295010434494,208
11456691,1448.090392965147,209
11456771,1476.5842008433297,208
11457017,1474.9437657912415,209
11457110,1474.6812578365998,210
11457185,1474.0863285465286,211
11457192,1458.8670046912925,212
11457200,1458.8440050682236,213
11457204,1461.3252376661867,213
11457234,1463.8284298182966,213
11457302,1461.0592738611213,214
11457398,1471.2645822013185,213
11457429,1471.3683854469564,213
11457796,1471.4723181576392,212
11457807,1445.0287924706777,213
11457855,1443.0150438264425,214
11458058,1447.606901010426,213
11458083,1447.605887935301,214
11458468,1447.5812473706414,215
11458644,1447.3499807595156,216
11458716,1366.5541533366102,216
11458964,1357.5653906075154,216
11459083,1358.0389032220808,216
11459324,1353.4975516723775,217
11459349,1353.4884330342074,218
11459711,1353.534127555265,217
11459763,1350.7030096440067,217
11459975,1351.0581763672023,216
11459986,1192.219560421155,217
11460107,1210.3859282686028,216
11460596,1210.4216117949477,215
